Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
Aeroflot Russian Airlines,1,"""travel to Russia to receive my refund""",21st January 2023,TRUE,I had booked a flight from Greece to Cuba. Due to COVID it was cancelled. I accepted a voucher to travel later. Then came the war and there are no flights over Europe. I asked for my refund and the reply was that I have to travel to Russia to receive my refund from Russian territory by myself. No other options. I didn't have to visit Russia to book my ticket.,,Solo Leisure,Economy Class,Thessaloniki to Havana via Moscow,January 2023,,,,,,,1,no
Aeroflot Russian Airlines,1,"""waiting for a refund for last 2.5 years""",2nd September 2022,TRUE,Has your flight been cancelled by Aeroflot themselves? Forget about your money back. You will never see them. I'm waiting for a refund for last 2.5 years!,,Solo Leisure,Economy Class,Osaka to Dublin via Moscow,July 2022,,,,,,,1,no
Aeroflot Russian Airlines,5,"""felt very rushed and unpolished""",30th January 2022,TRUE,"  Aeroflot has set high standards of achieving a 5-star airline status and my expectations significantly increased as a result. Positives included a seamless upgrade from Comfort to Business at LHR, good Plaza Premium lounge, very good miles earning vs redeeming ratio. The A350 hard product is phenomenal, especially on a short London route, and the catering on this flight exceeded the expectations (usually poor hot meal, however, the 4 cheese pappardelle was very good). However, there are two drawbacks on Aeroflot. Firstly, I  dislike Aeroflot’s or SVO’s standard practice of parking planes at the literally remotest ramps possible in -6C and with ice covering the stairs. I understand there maybe logistics issues, but doing so to a premium-heavy flight like London and for their most luxurious widebody is just beyond logic. I am observing that the crew service on the A350 / B777 is poorer than on their other planes. It gave me a feeling that the crew were very much undertrained; as a result the service, although efficient, felt very rushed and unpolished.  I still believe that the Aeroflot Business Class is above any of its European counterparts from the overall package size view, and if one manages to upgrade for miles (amazing redemption value) like I often do, then this product is possibly the best business class. However, full-fare paying passengers might be disappointed, because, in addition to a cutting-edge hard product, for such money, you expect a hospitable and personalised staff service beyond the ‘just tick’ attitude.  Overall, is Aeroflot a good airline, yes. Is Aeroflot a 5-star level airline and is its business class worth paying a full fare, no.",A350-900,Solo Leisure,Business Class,London to Moscow,January 2022,5,2,4,2,5,3,2,no
Aeroflot Russian Airlines,1,"""Best airline in Russia""",10th November 2021,FALSE,"  Best airline in Russia! Very nice staff, comfortable seats (I don't ask much, I mean this is coming from a girl who drives tanks), good service and power supplies, anything you can possibly ask for, enough room for my single bag, and even more room. Great service, good crew, wonderful meals, and so much more!! Ground service, I was pushed around a lot, but that isn't the staffs' fault. I don't remember turning on my in-flight entertainment system, I was too busy playing World of Tanks Blitz with the incredible WiFi.",Sukhoi Superjet 100,Business,Economy Class,Vladivostok to Grozny,August 2021,5,5,5,5,,5,5,yes
Aeroflot Russian Airlines,1,"""cabin crew were outstanding""",25th September 2021,TRUE,"  I was very impressed with the staff. Many thanks to the Aeroflot representative Nina at Larnaca, who was extremely professional, friendly and genuinely caring for her passengers. The cabin crew were outstanding as well, especially the flight attendant Asiya and the purser Irina. They did everything to make people onboard happy.",Boeing 777-300ER,Business,Business Class,Larnaca to Moscow,September 2021,4,5,4,5,4,,4,yes
Aeroflot Russian Airlines,2,"""the whole ticket was cancelled""",21st September 2021,TRUE,"  I missed my flight due to a confusion with the flights in the airport (Moscow SVO) - when two flights of Aeroflot were scheduled to the same destination with a difference of approx. 20 minutes, but one of them was not shown on the departure board (for some unknown reason). As a result I missed my flight arriving 5 minutes late to my gate. Other passengers were at the gate before me and still were not allowed to the flight. When I approached the customer desk in Moscow with my issue of a missed flight I still had three more connecting flights left in my round trip ticket. They informed me that the whole ticket was cancelled. It took them months to respond after and no support was provided with regard to my cancelled flights. How about the so called bonus miles program? Apparently it's not even possible to spend them in any way if you haven't reached 3000 miles. So, some of my flights with Aeroflot were not even counted in the miles account even though I travel quite often. Is there a bug not counting the miles even when you enter the frequent flyer number?",A320,Business,Economy Class,Vienna to Moscow,October 2020,2,3,3,2,1,,2,no
Aeroflot Russian Airlines,5,"""Overall, an okay experience""",12th September 2021,TRUE,"  Flight quite uneventful, although the hard product on Boeing 777 needs to be refurbished: it is outdated and worn. Crew were okay, although they seemed very stressed and exhausted from servicing a booked-out 777, full of families and crying babies l (on a 3-hour flight), and service felt very rushed and inattentive at times. SVO Terminal C is beautiful, but crowded and full of bottlenecks, resulting in long queues at security and long walking distances. The Malevich lounge, though, is excellent. It is well-planned and has numerous comfortable seating with amazing tarmac views and, despite being severely overcrowded, it didn’t feel like it. Overall, an okay experience, although much improvement is needed if Aeroflot wishes to achieve their ambitions of becoming a 5-star airline.",Boeing 777-300ER,Solo Leisure,Business Class,Moscow to Larnaca,September 2021,3,3,3,3,,,3,yes
Aeroflot Russian Airlines,7,"""professional and efficient crew""",3rd September 2021,TRUE," Positives: convenient booking via mobile app, very easy to upgrade from Economy to Comfort Class online, stylish new terminal C, professional and efficient crew, excellent business class-level soft product at Premium Economy (proper business class meal with metal cutlery, amenity kit, hot towels, cloth napkins). Drawbacks: B777-300ER in need of refurbishment (hopefully this is coming soon), very hard, wobbly, uncomfortable seats resulting in back pain, unaffordable internet, new terminal severely overcrowded (even worse than in the older Terminal D). Overall, a great product for a 4-hour flight, however, should if it was a long-haul flight, I would have reservations.",Boeing 777-300ER,Business,Premium Economy,Moscow to Larnaca,September 2021,1,4,4,3,4,3,4,yes
Aeroflot Russian Airlines,2,"""lines in Moscow airport are long""",28th August 2021,TRUE,"  Aeroflot has a good planes and good pilots, but the service was pretty bad, the lines in Moscow airport are long and disorganised, in Miami they pushed me to paid an additional PCR for couple hours of my previous test. Flight attendants let people occupy 3 chairs and sleep but you can't sit in the economy seat In front of the toilet because they call it economy comfort. They keep the plane extremely hot, normal in Russia but extremely annoying for non russian. I will avoid it if I can.",A350,Family Leisure,Economy Class,Miami to Moscow,August 2021,3,1,4,1,3,1,2,no
Aeroflot Russian Airlines,8,"""service was entirely satisfactory""",16th August 2021,FALSE,"The premium economy service was entirely satisfactory. The seat doesn’t have a lot of recline, but the legroom was fine for a 6’1” (185 cm) person and I was comfortable for the whole eight-hour trip. I liked the food well enough and appreciated having actual metal cutlery (though serving wine in a paper cup seemed a bit déclassé). The entertainment system had quite a wide variety of both movies and music. There was only one W.C. for a cabin of 50+ passengers, which is the only notable demerit that I found. Price was acceptable for a last-minute trip (purchased six hours before departure); the online purchasing was simple and efficient.",,Solo Leisure,Premium Economy,Petropavlovsk-Kamchatsky to Moscow,August 2021,4,5,4,3,4,,4,yes
